director,count
Mar Targarona,2
Marcos Bucay,2
Bruce Beresford,2
Abhijit Panse,2
Shivam Nair,2
Peter Berg,2
Sanjay Jadhav,2
Ari Sandel,2
Banjong Pisanthanakun,2
Kyran Kelly,2
Alessandro Angulo,2
Nick Broomfield,2
J.D. Dillard,2
Meltem Bozoflu,2
Luis Valdez,2
David Dobkin,2
Dave Higby,2
Sze Yu Lau,2
Stephen Herek,2
Peter Chelsom,2
Brad Peyton,2
Herman Yau,2
Joram Lürsen,2
JP Habac,2
"Bonni Cohen, Jon Shenk",2
Jonathan Levine,2
Cem Yılmaz,2
Alejandro Fernández Almendras,2
Eduardo Chauvet,2
Dan Forrer,2
Kagiso Lediga,2
Mahsun Kırmızıgül,2
David E. Talbert,2
Jota Linares,2
Francesco Imperato,2
Ekene Som Mekwunye,2
Brian Volk-Weiss,2
Makarand Mane,2
Charlie McDowell,2
Shalini Kantayya,2
Shin Won-ho,2
Erik Canuel,2
Tony Scott,2
Pierre Morel,2
Tigmanshu Dhulia,2
Dharmesh Darshan,2
Mary Harron,2
Ksshitij Chaudhary,2
Andrew Niccol,2
Sergio Leone,2
Gary Ross,2
Paco Plaza,2
Daniel Stamm,2
Ömer Faruk Sorak,2
Joyce Bernal,2
Jay Chandrasekhar,2
Miguel Arteta,2
Esteban Vidal,2
Nikhil Advani,2
Karen J. Lloyd,2
Kim Joo-hyung,2
Vipul Amrutlal Shah,2
Andy Fickman,2
Brad Bird,2
Michael Winterbottom,2
Stanley Tong,2
Timo Tjahjanto,2
Julián Hernández,2
John Erick Dowdle,2
Kyle Newacheck,2
Michael Cuesta,2
Patrick Brice,2
Susan Johnson,2
Iginio Straffi,2
Neil Jordan,2
Sridhar Rangayan,2
Mark Palansky,2
Randal Kleiser,2
George C. Wolfe,2
Wayne Blair,2
Chad Van De Keere,2
Patricia Rozema,2
Gus Van Sant,2
Rodrigo Van Der Put,2
Javier Ruiz Caldera,2
Jacob Kornbluth,2
Ezekiel Norton,2
Jonathan Mostow,2
Sachin,2
Nelson McCormick,2
Everardo González,2
Nia Dinata,2
Kedar Shinde,2
Girish Malik,2
Bill D'Elia,2
Rian Johnson,2
Alexandre Avancini,2
Kasia Uscinska,2
James Ponsoldt,2
"Shigeaki Kubo, Tsuyoshi Nakakuki",2
Jeremy Kenyon Lockyer Corbell,2
Sam Taplin,2
Ramsey Nouah,2
Gregory Caruso,2
Alex Díaz,2
Seth Barrish,2
Shakun Batra,2
Tanuja Chandra,2
Sean Cisterna,2
Smeep Kang,2
Robin Swicord,2
Jayan Moodley,2
Soumendra Padhi,2
Nawapol Thamrongrattanarit,2
Chris Bould,2
Duncan Jones,2
Vinil Mathew,2
"Kip Andersen, Keegan Kuhn",2
S.S. Wilson,2
James Bobin,2
James Yukich,2
Claire Scanlon,2
David Paul Meyer,2
Thiru,2
Malik Nejer,2
Brian Klein,2
Asghar Farhadi,2
Alejandro Agresti,2
Damien O’Connor,2
Punit Malhotra,2
Reema Kagti,2
Ahmed Zain,2
Chris Robinson,2
Eric Meza,1
Tommy Chong,1
Erol Özlevi,1
Alejandro Hartmann,1
Jennifer Westcott,1
Wash Westmoreland,1
Patricia Font,1
Bobby Roth,1
Aleksey German,1
Rhiannon Bannenberg,1
Elizabeth Wood,1
April Mullen,1
"Harry Elfont, Deborah Kaplan",1
Abdul Aziz Hashad,1
Jesús Magaña Vázquez,1
Gail Willumsen,1
"Jacques Perrin, Jacques Cluzaud",1
John Milius,1
Luke Holland,1
Pramod Pawar,1
Tània Balló,1
Mika Kaurismäki,1
Danish Aslam,1
Wouter Bouvijn,1
"Kate Mulleavy, Laura Mulleavy",1
Wong Kar Wai,1
Skye Borgman,1
Greg Pritikin,1
Kief Davidson,1
Joe Miale,1
Hang-Jun Jang,1
Paulo Oriol,1
Manjeet Singh,1
Emilio Martínez Lázaro,1
Sam Upton,1
Anthony Wonke,1
Peter Sattler,1
Van M. Pham,1
"Noah Baumbach, Jake Paltrow",1
"Jon Hurwitz, Hayden Schlossberg",1
Mary Mazzio,1
Simon Frederick,1
"Alejandro De Grazia, Juan Stadler",1
Maribel Sánchez-Maroto,1
Lester Hsi,1
Lee Seung-won,1
B. Unnikrishnan,1
Lauren Miller Rogen,1
Tig Notaro,1
Anthony Pierce,1
Gaby Dellal,1
Atul Malhotra,1
Salima Koroma,1
Alphonso J. Wesson,1
Frédéric Tonolli,1
Benny Fredman,1
Stacy Title,1
Theodore Melfi,1
"Moyoung Jin, Caroline Sá, Deepti Kakkar, Fahad Mustafa, Hikaru Toda, Chico Pereira, Elaine McMillion Sheldon",1
Fermín Muguruza,1
Michael Curtiz,1
"TJ Sullivan, Greg Rankin",1
Madonna,1
Bolanle Austen-Peters,1
Anand Kamalakar,1
Phanindra Narsetti,1
To-hoi Kong,1
Daniel J. Clark,1
Byun Hyuk,1
Seren Yüce,1
"Nishanth Ravindaran, Jathin Sanker Raj",1
Michael Kennedy,1
Pan Nalin,1
Kyle Newman,1
Jon Spira,1
Pooja Bhatt,1
Dylan C. Brown,1
"Colin Strause, Greg Strause",1
"Peter Lord, Jeff Newitt",1
Stephen Amezdroz,1
"Milla Harrison-Hansley, Alicky Sussman",1
Charles Martin,1
"Travon Free, Martin Desmond Roe",1
He Xiaofeng,1
"David Chuang, Chen Kuan-chung",1
Shagufta Rafique,1
"Zoya Akhtar, Karan Johar, Anurag Kashyap, Dibakar Banerjee",1
Martin Zandvliet,1
Geun-hyun Cho,1
Constance Marks,1
"Mike McCoy, Scott Waugh",1
Michael Doneger,1
Zachary Heinzerling,1
Asri Bendacha,1
"Vincente Minnelli, Charles Walters",1
Michael Mayer,1
Ofir Raul Graizer,1
Pawan Kripalani,1
Akhigbe Ilozobhie,1
Fouad Al Shatti,1
Ravishankar Venkateswaran,1
Michał Tylka,1
Ísold Uggadóttir,1
Hatem Khraiche,1
Griffin Dunne,1
Ralph Macchio,1
"Jan Suter, Raúl Campos Delgado",1
Yvan Attal,1
Jody Lambert,1
"Ken Burns, Artemis Joukowsky",1
Benoît Jacquot,1
"Mahin Ibrahim, Austin Kolodney, Will Lowell, David Beier, Dave Dorsey, Xu Zhang, Alana Waksman, Jon YonKondy, Drue Metz, Brandon Somerhalder",1
Jijo Pancode,1
Shawn Crahan,1
Rowan Athale,1
Vidhu Vinod Chopra,1
TT The Artist,1
Ti West,1
Rajesh Ganguly,1
"Julia Willoughby Nason, Jenner Furst",1
"Mariana Tschudi, Héctor Gálvez",1
Reem Kherici,1
Meghan O'Hara,1
"Hemant Gaba, Pratim D. Gupta, Sudhish Kamath, Nalan Kumarasamy, Anu Menon, Sandeep Mohan, Qaushiq Mukherjee, Rajshree Ojha, Raja Sen, Abhinav Shiv Tiwari, Suparn Verma",1
Harrison Smith,1
Jenny Carchman,1
Michael Roberts,1
Jennifer Peedom,1
"Peter Farrelly, Will Graham, Steve Carr, Griffin Dunne, Steve Brill, James Duffy, Jonathan van Tulleken, Elizabeth Banks, Patrik Forsberg, Brett Ratner, Rusty Cundieff, James Gunn",1
Billy Bob Thornton,1
Zakariya,1
