director,count
Benjamin Ree,1
Munish Bhardwaj,1
Toshiyuki Tsuru,1
Partho Mitra,1
Mohammad Irfan Ramly,1
Jeo Baby,1
Richard Laxton,1
Michael Kampa,1
Eric Aghimien,1
Eva Trobisch,1
"Alex Parkinson, Richard da Costa",1
Shaad Ali,1
Alina Teodorescu,1
María Jose Cuevas,1
Raymond Wood,1
Uttung Shelar,1
"Cary Murnion, Jonathan Milott",1
Nancy Schwartzman,1
Izu Ojukwu,1
"Pierre Greco, Nancy Florence Savard",1
Lluís Quílez,1
Takashi Doscher,1
Georges Hachem,1
Aaron Woodley,1
Mohamed Yassin,1
Daniel Sánchez Arévalo,1
Benson Lee,1
Alex Israel,1
Richard Donner,1
John Patrick Shanley,1
John Trengove,1
Michael Anderson,1
George Miller,1
Navneet Behal,1
Neil Rawles,1
Beeban Kidron,1
Vijay Roche,1
Peter Mimi,1
Greta Gerwig,1
James Franco,1
Nisheeta Keni,1
Sudabeh Mortezai,1
Conor Allyn,1
Shashanka Ghosh,1
"Steve Hickner, Simon J. Smith",1
Robert Markowitz,1
Andrew Nackman,1
Marianna Palka,1
Harjit Singh,1
"Anders Sømme Hammer, Marius Arnesen, Klaus Erik Okstad, Olav Njaastad",1
"Philip Einstein Lipski, Jørgen Lerdam, Amalie Næsby Fick",1
Michael Radford,1
Ashish R. Mohan,1
Mozez Singh,1
Hallie Meyers-Shyer,1
Yoshiyuki Tomino,1
Christopher Amos,1
Ángeles Reiné,1
Natasha Lyonne,1
Carey McKenzie,1
Marcos Carnevale,1
Denis Do,1
Hussein El Ansary,1
"Kunihiko Yuyama, Motonori Sakakibara",1
Sam Cullman,1
Manav Shah,1
John Woo,1
"Sam Dunn, Scot McFadyen",1
Natalie Portman,1
Michael Feifer,1
Allen Coulter,1
Rob W. King,1
Michael Cumming,1
Nikhil Pherwani,1
Zhang Chong,1
Mostofa Sarwar Farooki,1
Mike Rohl,1
"Aitor Arregi, Jon Garaño, Jose Mari Goenaga",1
Luke Snellin,1
Sandeep Reddy Vanga,1
Malik Vitthal,1
Castille Landon,1
"Mark Helenowski, Kevin Pang",1
Tanuj Chopra,1
Zach Clark,1
Natalia Valdebenito,1
Fernando Frías De La Parra,1
Kamal Sahani,1
Stephen Chbosky,1
"Evan Goldberg, Seth Rogen",1
Kristine Stolakis,1
Rindala Kodeih,1
Dado C. Lumibao,1
"Pavitra Chalam, Akshay Shankar",1
Anna Stone,1
Mickey Fonseca,1
Tomas Brickhill,1
Hani Al-Shaibani,1
Robbie Grewal,1
Raj Kaushal,1
Andreas Prochaska,1
"Jill Bauer, Ronna Gradus",1
Thomas Carter,1
Everardo Gout,1
"Devaki Singh, Luke Kenny",1
Roman Polanski,1
Pieter-Jan De Pue,1
David L.G. Hughes,1
Li Weiran,1
"Su I-Hsuan, Chuang Shiang-an, Liu Yi",1
Caroline Suh,1
Sadeq Behbehani,1
Hugo Stuven,1
Matt Bell,1
Evgeny Afineevsky,1
Gabriel Grieco,1
Amir Mohiuddin,1
Billy Ray,1
Afonso Poyart,1
Uduak-Obong Patrick,1
Marco Petry,1
Brian Henson,1
Shady Hanna,1
Manish Saini,1
"Akhil Paul, Anas Khan",1
Muh Chen,1
Lawrence Cheng,1
Sidharth Malhotra,1
David Bruckner,1
You-Jeong Chang,1
Serdar Akar,1
Levan Tsikurishvili,1
Dustin Nguyen,1
Gerry Hoban,1
Gavin O'Connor,1
K. Gopinathan,1
Fred Olen Ray,1
Fred Durst,1
Donovan Marsh,1
Florian Schott,1
"Toka McBaror, Tunde Apalowo",1
Jennifer M. Kroot,1
Vijay Yelakanti,1
Christian Charles,1
Pavel Parkhomenko,1
"Jedd Wider, Todd Wider",1
Lawrence Kasdan,1
Julio Quintana,1
Jonathan Lynn,1
Ladislaus Kiraly,1
Kornél Mundruczó,1
Pailin Wedel,1
Bryn Evans,1
Fernando Frías de la Parra,1
Pedro Flores Maldonado,1
Leticia Jorge Romero,1
Prentice Penny,1
Francisco Macri,1
Pierre Deschamps,1
Sandra Restrepo,1
Sunao Katabuchi,1
Milind Dhaimade,1
Marie Madinier,1
Shashilal K. Nair,1
Shrihari Sathe,1
"Kristina Goolsby, Ashley York",1
Richard Attenborough,1
Kees Van Oostrum,1
Charlie Vaughn,1
Gulzar,1
"Leo Riley, Eric Radomski",1
Steve McLean,1
"Albert Hughes, Allen Hughes",1
Gary Sing,1
Edward James Olmos,1
Ali Tabrizi,1
"Al Campbell, Alice Mathias",1
"Zeek Earl, Christopher Caldwell",1
Handan İpekçi,1
Robert Eagar,1
Serge Ou,1
Luis Javier Henaine,1
Emmanuel Mouret,1
Suseenthiran,1
"Terry Gilliam, Terry Jones",1
Irek Dobrowolski,1
Josh Wakely,1
Robert McCullough Jr.,1
Houda Benyamina,1
Roman Coppola,1
"Jung-ah Im, Seung-uk Jo",1
José Eduardo Belmonte,1
Abdellatif Kechiche,1
"Rajiv Chilaka, Binayak Das",1
Vishal Mishra,1
Rebecca Addelman,1
Michael Buster,1
"John Mikulak, Joshua Brown",1
Tobe Hooper,1
Sherif Mandour,1
Ann Deborah Fishman,1
Cooper Karl,1
Mikael Håfström,1
Tanawat Aiemjinda,1
Han Han,1
Yee Tung-Shing,1
Noor Imran Mithu,1
Akshay Akkineni,1
Peter Webber,1
Shammi Kapoor,1
Laurent Bouzereau,1
Khaled Youssef,1
Deane Taylor,1
Hiromasa Yonebayashi,1
Julia Hart,1
Moataz El Tony,1
Stephan Rick,1
"Luis Alfaro, Javier Gómez Santander",1
Peter Facinelli,1
Francisco D'Eufemia,1
Shaz Bennett,1
"Will McCormack, Michael Govier",1
Stacia Crawford,1
Levan Gabriadze,1
Azazel Jacobs,1
Hayato Date,1
Todd Biermann,1
K.C. Bokadia,1
Chester Tam,1
Dennis Iliadis,1
Richard Miron,1
Shekhar Kapur,1
"Anna Boden, Ryan Fleck",1
Jorge Granier,1
Anurag Singh,1
Matthew Cooke,1
Dheeraj Berry,1
David Guy Levy,1
Vincent Ward,1
"Joe Berlinger, Bruce Sinofsky",1
Lance Daly,1
Akashdeep,1
Jean-Bernard Marlin,1
Liu Jiang,1
Jatla Siddartha,1
Dan Lucchesi,1
"Rod Blackhurst, Brian McGinn",1
"Micah Bickham, Galley Molina",1
Mike Birbiglia,1
Terri Randall,1
"Dana Doron, Uriel Sinai",1
Nacho G. Velilla,1
Gafoor Y. Elliyaas,1
Paritosh Painter,1
Abhishek Saxena,1
Bryan Singer,1
Miriam Chandy Menacherry,1
"Edward Ellis, Flor Salcedo, Aaron Woolf",1
David Serrano,1
Louie Schwartzberg,1
Ben Falcone,1
Ross Venokur,1
James Haslam,1
Franck Nataf,1
Andrew Dean,1
Chung Mong-hong,1
Mauro Scandolari,1
Sigrid Andrea Bernardo,1
Daniel Goldhaber,1
Hèctor Hernández Vicens,1
Diego Lerman,1
"Paul Solet, Rick Benattar",1
Rob Meyer,1
Joe Piscatella,1
Ishaan Trivedi,1
"Gary Cohen, Ross Hockrow",1
Zack Whedon,1
Ashish R. Shukla,1
Jeffrey G. Hunt,1
Lena Khan,1
Clint Butler,1
Otoja Abit,1
Peter Sollett,1
Murat Kepez,1
Michelle Esrick,1
Milton Horowitz,1
Kevin Bray,1
Elisabeth Vogler,1
Bent-Jorgen Perlmutt,1
Juan Pablo Buscarini,1
"Lyric R. Cabral, David Felix Sutcliffe",1
Jelle de Jonge,1
Don Mancini,1
"Damien Piscarel, Florent Bodin",1
"Jon Reiner, Brad Rothschild",1
Mel Stuart,1
Victor Vu,1
Robert Townsend,1
Linda Korsten,1
Andrew Goth,1
Kaila York,1
Aditya Vikram Sengupta,1
Che Sandoval,1
Melinda Janko,1
Troy Nixey,1
Matthew Shoychet,1
"Ricky Gervais, Matthew Robinson",1
Bahij Hojeij,1
Jon Izen,1
Amitabha Singh,1
Shadab Khan,1
Fumihiko Sori,1
"Christopher S. Rech, Brandon Kimber",1
"Gabriel Clarke, Torquil Jones",1
Mark Dindal,1
Emma Hatherley,1
Ari Levinson,1
Luis Javier M. Henaine,1
Michael Seater,1
J. Lee Thompson,1
"Ash Brannon, Chris Buck",1
Maxwell McGuire,1
Nopparoj Chotmunkongsit,1
Ali Yorgancıoğlu,1
"Takashi Yamazaki, Ryuichi Yagi, Makoto Hanafusa",1
Vijay Kumar,1
"Karan Shivajirao Chavan, Vikram Tanajirao Patil",1
David Wain,1
Tomas Portella,1
Teo Konuralp,1
Brendon Marotta,1
Tony Stone,1
Jee-woon Kim,1
Marco Schnabel,1
Chris Renaud,1
Juan Carlos Medina,1
Lasja Fauzia Susatyo,1
"Kevin Ko, Peter Tsi",1
"Ahmed Yousry, Hazem Fouda",1
Kranthi Madhav,1
Jason Orley,1
Rod Cabatana Marmol,1
Julien Abraham,1
"Limbert Fabian, Brandon Oldenburg",1
R. Balki,1
Nattawut Poonpiriya,1
Moto Sakakibara,1
Stephen Gyllenhaal,1
Philip Yung,1
Dan Harris,1
Shaina Allen,1
David de Vos,1
"Mauricio Dias, Tatiana Villela",1
Manuel Alcalá,1
"Ian Cheney, Sharon Shattuck",1
Andrew Jenks,1
"Daan Jansen, Stijn Verlinde",1
"Mark A.Z. Dippé, Eondeok Han",1
Makoto Shinkai,1
"Lee Kyoungmi, Yim Pilsung, Jeon Go-woon, Kim Jong-kwan",1
Ken Kwapis,1
Mandeep Kumar,1
Dito Montiel,1
Varun Narvekar,1
Nic Mathieu,1
"Shannon Hartman, Michelle Caputo",1
Roger Gual,1
Rob Burnett,1
Jason Krawczyk,1
Eric Laneuville,1
"Scott Hussion, Seth Fuller",1
Nathan Morlando,1
Christian Duguay,1
Sidheswar Shukla,1
Jonathan Clay,1
Lance Young,1
Santhosh Viswanath,1
Gupse Özay,1
Daniel Yee Heng Chan,1
Hashim Nadeem Khan,1
Sameer Sharma,1
Matthias Hoene,1
Oskar Santos,1
Alberto Rodríguez,1
Kevin Reynolds,1
Nils Tavernier,1
"Ali Taner Baltacı, Cem Yılmaz",1
Sam Taylor-Johnson,1
"Michael Spierig, Peter Spierig",1
Maite Ruiz De Austri,1
Sydney Sibilia,1
Devika Bhagat,1
Vadim Jean,1
Matt D'Avella,1
"Drea Cooper, Zackary Canepari",1
Amar Kaushik,1
Feroz,1
Michael Barnett,1
Tony Elliott,1
"Sophie Robinson, Lotje Sodderland",1
Toby Haynes,1
Onur Ünlü,1
Dash Shaw,1
Christophe Honoré,1
Paul Raschid,1
Kathryn Fasegha,1
Ryan Crego,1
One9,1
Glendyn Ivin,1
Carlos Sorín,1
Terrie Samundra,1
Nguyen Thanh Tung,1
Ferzan Özpetek,1
Richard Gabai,1
Sebastian DiNatale,1
Vijay Kumar Arora,1
Scott McAboy,1
Anubhav Sinha,1
Frank Ariza,1
Amarjit Virdi,1
Saket Behl,1
Patricia Ferreira,1
Matthew Salleh,1
"Aaron Hancox, Michael McNamara",1
Jack Starrett,1
Sanjeev Gupta,1
Luca Vullo,1
Jenna Laurenzo,1
Oren Peli,1
René Pérez Joglar,1
Adam Alleca,1
Gillian Armstrong,1
"Robert Cannan, Ross Adam",1
Veronica Velasco,1
Jose Gomez,1
"Eric Summer, Éric Warin",1
Eddie Rosas,1
Puri Jagannadh,1
Athiyan Athirai,1
Yuki Yamato,1
"Marta Jaenes, Rosa Márquez",1
Matt Tyrnauer,1
Rayka Zehtabchi,1
Samit Kakkad,1
Prasobh Vijayan,1
Han Yan,1
Robert Smigel,1
Alexandra Dean,1
Steve Antin,1
Corbin Bernsen,1
Lucy van Beek,1
Max Martini,1
Theo Davies,1
Peter Galison,1
Jonathon Link,1
Khalid Rahman,1
Atul Sabharwal,1
Madeleine Parry,1
Manoj Beedha,1
Olaf de Fleur,1
Sartaj Singh Pannu,1
Hayao Miyazaki,1
Florian Schnell,1
"Paul Taublieb, Jon Freeman",1
Mark O'Connor,1
Eric Stoltz,1
Chris McCoy,1
Anthony Bell,1
Jamie M. Dagg,1
Francis Ford Coppola,1
Bin Bunluerit,1
Jeffrey Nachmanoff,1
Ricardo Trogi,1
Anton Corbijn,1
Seema Pahwa,1
Kongkiat Khomsiri,1
Stefan Westerwelle,1
Joseph Hsu,1
Ross Kauffman,1
Gina Prince-Bythewood,1
Felipe Cano,1
Theo Love,1
Woo Min-ho,1
Johan Brisinger,1
Raúl Arévalo,1
"Scott Aukerman, Akiva Schaffer",1
Sharon Grimberg,1
Çagan Irmak,1
Camilla Nielsson,1
Jonathan Baker,1
"Chatchai Katenut, Manussa Vorasingha, Tanwarin Sukkhapisit, Poj Arnon",1
Raj B. Shetty,1
Matt Wechsler,1
Peter Hewitt,1
K.S. Ravikumar,1
Hayden Guppy,1
Alex Ranarivelo,1
"Josh Z. Weinstein, Joshua Z. Weinstein",1
Odunlade Adekola,1
Fernando Meirelles,1
Sergio Pablos,1
Padraic McKinley,1
Ben Young,1
"Fluvio Iannuci, Roly Santos",1
Lydia Tenaglia,1
Andy Goddard,1
Philip Marlatt,1
Michael Winnick,1
Brett Ratner,1
Josh Webber,1
Ian MacAllister-McDonald,1
Benjamin Ross,1
Kiran Rao,1
Eric D. Cabello Díaz,1
Darragh O'Connell,1
Glen Keane,1
"Hideaki Anno, Kazuya Tsurumaki",1
Trisha Ziff,1
Tinge Krishnan,1
Vibeke Idsøe,1
Chris Moukarbel,1
"Peter Middleton, James Spinney",1
Joel Oliansky,1
Chris Bell,1
"Anthony Russo, Joe Russo",1
"Volker Arzt, Angelika Sigl",1
Marita Grabiak,1
Neil LaBute,1
Brett Harvey,1
Hans Petter Moland,1
"Victor Dal Chele, Alfred Gimeno",1
Steven Zaillian,1
Greg Mottola,1
Rudradeep Bhattacharjee,1
Brent Maddock,1
James Redford,1
Randa Chahal Sabbag,1
Donick Cary,1
Sean Baker,1
James Dearden,1
Thiagarajan Kumararaja,1
Yann Gozlan,1
Adam Bhala Lough,1
Gauravv K Chawla,1
Felix Chong,1
Peter Ho,1
Curro Velázquez,1
"Evan Spiridellis, Jeff Gill",1
Brian Knappenberger,1
Karl Mueller,1
Roy Campanella II,1
Michael Lennox,1
Trey Haley,1
Shivendra Singh Dungarpur,1
Maya Zinshtein,1
Stuart Orme,1
Sukhbir Singh,1
Douglas Attal,1
Jay Oliva,1
Henri Wong,1
Muhammad Ali,1
Monica Floyd,1
Vibhu Virender Puri,1
Hassan AbdulSalam,1
Eddie Mensore,1
Vincenzo Natali,1
"Luis Alberto Restrepo, Andrés Beltrán, Jaime Rayo",1
Anne Fletcher,1
Rene Bueno,1
Joaquín Mazón,1
Debra Granik,1
Kyohei Ishiguro,1
Chow Hin Yeung Roy,1
Chris Gorak,1
Shubham Singh,1
Adriana Trigiani,1
Inas El-Degheidy,1
Michel Hazanavicius,1
"Shashanka Ghosh, Samit Basu",1
Mat King,1
Kunal Deshmukh,1
Ramón Salazar,1
Jorge Hernandez Aldana,1
Josh Greenbaum,1
Christian Gudegast,1
Andrés Couturier,1
John Barnard,1
Param Gill,1
"Pedro de Echave García, Pablo Azorín Williams",1
Marcelo Piñeyro,1
Jeferson De,1
"Ellena Wood, Jesse Vile",1
Cho Il,1
"Junior Carelli, Rudge Campos",1
Andaç Haznedaroğlu,1
Rodrigo Reyes,1
Aadish Keluskar,1
Jang Jae-hyun,1
Atharv Baluja,1
Mariano Baez,1
Jon Alpert,1
Brent Bonacorso,1
Bryce Wagoner,1
"Scott Mosier, Yarrow Cheney",1
Alex Garland,1
Giancarlo Esposito,1
Ed Lilly,1
Fernando Moro,1
Francis Whately,1
Chris Miller,1
"Regina Welker, Nina Wels",1
Armando Iannucci,1
"Pablo Stoll, Juan Pablo Rebella",1
Nicole Holofcener,1
Claude Lelouch,1
Perry Lang,1
Yang Lei,1
"Andrew Tan, Stephen Murray",1
Anthony Scott Burns,1
David Shisgall,1
Abel Ferrara,1
Storm Theunissen,1
"Kirk DeMicco, Brandon Jeffords",1
Kelly Fremon Craig,1
Juraj Šajmovič,1
Ally Pankiw,1
Samuel Olatunji,1
Pass Patthanakumjon,1
Jude Weng,1
Duncan McMath,1
S.A. Zaidi,1
Matthew Ross,1
Romain Gavras,1
Matheus Souza,1
Nick Simon,1
Drew Heriot,1
Go Koga,1
Raj Amit Kumar,1
Woo Ming Jin,1
Bob Odenkirk,1
Shin-yeon Won,1
"Royale Watkins, Rich Schlansker",1
"Johane Matte, Andrew L. Schmidt, Francisco Ruiz Velasco",1
Daniel Růžička,1
Rae Red,1
Kevin Macdonald,1
Sue Kim,1
"Hiromasa Yonebayashi, Yoshiyuki Momose, Akihiko Yamashita",1
Lonzo Nzekwe,1
"Corey Yuen, Patrick Leung",1
Nuel Naval,1
James Marsh,1
Chandan Arora,1
Sabir Khan,1
Kirby Dick,1
Rene Liu,1
Marja Lewis Ryan,1
Ritesh Batra,1
Avinash Das,1
Charneice Fox,1
"Callie Khouri, Jesse V. Johnson",1
Sanjay Dayma,1
Sanjay Soorkar,1
Tommy Avallone,1
"Mohammed El-Tahawy, Mohamed Mostafa",1
"Ben Brewer, Alex Brewer",1
Navjot Gulati,1
Wagner de Assis,1
Nottapon Boonprakob,1
Ana Lily Amirpour,1
Arun Chidambaram,1
Chang-Min Lee,1
Lisa Arnold,1
"Wong Jing, Jason Kwan",1
Feng Xiaogang,1
Eugenio Derbez,1
"Dan Fraga, William Lau",1
Venugopan,1
"Jevons Au, Zune Kwok, Chow Kwun-wai, Ng Ka-Leung, Wong Fei-Pang",1
Andy Devonshire,1
Ahn Byoung-wook,1
Greg Barker,1
Ravi Babu,1
Matt Shakman,1
"Igor Kovalyov, Norton Virgien",1
Julio Fernández Talamantes,1
Hong-seon Kim,1
"Joachim Fest, Christian Herrendoerfer",1
Yuen Wo-Ping,1
Brett Whitcomb,1
Eric Drath,1
Gregory Plotkin,1
Jen McGowan,1
Oliver Bokelberg,1
Avinash Walzade,1
Steve Bencich,1
Roy Poortmans,1
Mangesh Hadawale,1
Mariano Barroso,1
Sachin Kamlakar Khot,1
Gonzalo Bendala,1
Amal Neerad,1
Ranjit Tiwari,1
Jeff Garlin,1
L. Frazier,1
Jason Moore,1
Adam MacDonald,1
Rudy Soedjarwo,1
Nicholas Stoller,1
Ian Kirby,1
Chun Wong,1
Chia Tang,1
"Clementine Malpas, Leslie Knott",1
Curtis Hanson,1
Michelle MacLaren,1
Joe Wright,1
"David 'Tosh' Gitonga, Michael Jones",1
Jan Komasa,1
Lynn Novick,1
"Paul Krüger, Anél Stolp",1
Jean-Claude Flamand-Barny,1
Isabel Coixet,1
"Hanung Bramantyo, Meisa Felaroze",1
Oded Raz,1
"Anthony Abrams, Adam Larson Broder",1
John Butler,1
"Seth Barrish, Mike Birbiglia",1
Jorge Michel Grau,1
Pieter Kuijpers,1
"Will Lovelace, Dylan Southern",1
Scott Martin,1
Rupert Jones,1
Jakob Verbruggen,1
"Jayson Thiessen, Ishi Rudell",1
Femi D. Ogunsanwo,1
Matthew Heineman,1
Theodore Witcher,1
Sam Irvin,1
James Bamford,1
Prasanth Varma,1
Rucha Humnabadkar,1
Mahmoud Sabbagh,1
Joe Swanberg,1
Richard Mears,1
Justin Chon,1
Tim Van Someren,1
Meng Hua Ho,1
Stuart Heisler,1
Leanne Gater,1
Huang Lei,1
Daniel Schechter,1
Selçuk Aydemir,1
Rajesh Mapuskar,1
Phil Burgers,1
Derick Cabrido,1
Sammaria Sari Simanjuntak,1
Mick Grogan,1
Matt Kay,1
Alain Desrochers,1
Ali Scher,1
Elvira Lind,1
Andrew Sandler,1
B.N. Shajeer Sha,1
Richard Bailey,1
Maya Gallus,1
Krzysztof Zanussi,1
Sylvain White,1
Manjari Makijany,1
Lee Kae-byeok,1
Francesco Amato,1
Monika Mitchell,1
Thomas Vinterberg,1
Lukas Dhont,1
Saket Chaudhary,1
Kim Jee-woon,1
Jordan Brady,1
Abhishek Varman,1
Iñaki Dorronsoro,1
"Gastón Duprat, Mariano Cohn",1
Mel Smith,1
Ali Taner Baltacı,1
Jon Turteltaub,1
Vijay Jayapal,1
Edgar Wright,1
Brian Smith,1
Jonathan Sobol,1
Jim Henson,1
Alice Filippi,1
Rod Daniel,1
Jim Field Smith,1
Svetlana Cvetko,1
"Akshay Sanjeev Chavan, Sumit Das",1
John Luessenhop,1
Rahul Ravindran,1
Juan Antin,1
"Riki Lindhome, Jeremy Konner",1
Daniel Lee,1
Martin Hodara,1
Ian Barber,1
Huang Jianming,1
Ashim Ahluwalia,1
John Upchurch,1
"Denis Hennelly, Casey Suchan",1
Mickey Liddell,1
"Ron Clements, John Musker",1
Raam Reddy,1
Jorge Blanco,1
Ahmed Siddiqui,1
Vondie Curtis-Hall,1
"Manny Rodriguez, Jay Lavender",1
Clara Martínez-Lázaro,1
Michelle Johnston,1
Mandie Fletcher,1
Gangadhar Salimath,1
Amit Saxena,1
Sean Hanish,1
"Katy Chevigny, Ross Kauffman",1
Sung-soo Kim,1
Ayush Raina,1
Kazuaki Kiriya,1
Kevan Peterson,1
United States,1
Angel Kristi Williams,1
Yuval Adler,1
Cheng Wei-hao,1
Okey Oku,1
"Lindsey Cordero, Armando Croda",1
Page Hurwitz,1
David Moreton,1
Michael M. Scott,1
Jeremiah Jones,1
Carlo Padial,1
Bronwen Hughes,1
Dilip Mehta,1
Marco Dutra,1
Jeannie Gaffigan,1
Quinn Lasher,1
Ziga Virc,1
Eric Zaragosa,1
Zatella Beatty,1
Lewis Milestone,1
"Dennis Scholl, Kareem Tabsch",1
"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",1
Thom Fitzgerald,1
Marwan Nabil,1
Naseef Yusuf Izuddin,1
David Hunt,1
Sittisiri Mongkolsiri,1
"Ibrahim Bin Mohamed, Hasan Aljaberi",1
"Rusty Cundieff, Darin Scott",1
Han Qing,1
Jay Bulger,1
K. Rajagopal,1
David Schalko,1
Buta Singh,1
Daniel Noah,1
Martin Rosete,1
"Dana Nachman, Don Hardy Jr.",1
Malik Bendjelloul,1
Gregg Bishop,1
Mimi Leder,1
Sunil Soraya,1
Lijo Jose Pellissery,1
Jonathan Teplitzky,1
Nick Moore,1
"Sabaah Folayan, Damon Davis",1
Navdeep Singh,1
Megha Ramaswamy,1
Deepti Naval,1
"Karim Amer, Jehane Noujaim",1
Bert Marcus,1
Ryan Koo,1
Craig Goodwill,1
Prawal Raman,1
David Raynr,1
"Phil Lord, Christopher Miller",1
Phil Alden Robinson,1
Alain Brunard,1
Sachin Kundalkar,1
Gurmmeet Singh,1
Paco Aguilar,1
Jeff Tomsic,1
Lee Toland Krieger,1
Gilbert Chan,1
Dhanush,1
"Terry Hughes, Ian MacNaughton",1
Sarah Adina Smith,1
Manika Sharma,1
Susan Glatzer,1
Julius Avery,1
"Grant Korgan, Brian Niles",1
Lone Scherfig,1
Paul Feig,1
Mario Van Peebles,1
Daniel Sandu,1
Renuka Shahane,1
Hong Won-ki,1
Hamad AlSarraf,1
Padraig Reynolds,1
Karan Malhotra,1
Rami Hachache,1
Datta Mohan Bhandare,1
Johnny Kevorkian,1
Tinu Pappachan,1
Michael Paul Stephenson,1
Hannes Stöhr,1
"Felix Van Groeningen, Felix van Groeningen",1
Asim Abbasi,1
Ken Hughes,1
Kranti Kanade,1
Bruce Gowers,1
Dustin McKenzie,1
"Jeremy Coon, Tim Skousen",1
"Andrew Lau Wai-Keung, Andrew Loo",1
Joshua Oppenheimer,1
Bashir El Deek,1
Siddique,1
"Ellen Page, Ian Daniel",1
Samuel Jouy,1
Isaac Rentz,1
Caio Cobra,1
Hiroyuki Seshita,1
Eduardo Casanova,1
Riccardo Pilizzeri,1
Bharat Jain,1
Pablo Parés,1
Marcelo González,1
Kelly Noonan,1
Elizabeth Chai Vasarhelyi,1
"Adele K. Thomas, Richard Bailey",1
Sonia Lowman,1
Brett Weiner,1
Shen Leping,1
Uzodinma Okpechi,1
Adrián García Bogliano,1
Shaun Mir,1
Apurva Dhar Badgaiyann,1
Ayman Makram,1
"Sebastian Jones, Ramez Silyan",1
Prabhu Deva,1
Mahmoud al Massad,1
Praveen Nischol,1
Jeff Margolis,1
Julian Jarrold,1
"Fernando Meirelles, Katia Lund",1
Alexandros Avranas,1
Mark Murphy,1
"Kazuchika Kise, Masahiko Murata",1
Amardeep Singh Gill,1
Sopon Sukdapisit,1
Jaki Bradley,1
"Banjong Pisanthanakun, Parkpoom Wongpoom",1
Satish Manwar,1
Mario Mattei,1
Steven R. Monroe,1
Kyle Rankin,1
Joshua Rofé,1
Susan Lacy,1
John Madden,1
Xiao Feng,1
"Hsu Chih-yen, Mag Hsu",1
Myriam Aziza,1
Jennifer Morrison,1
Maria Sadowska,1
Onur Tukel,1
Richard Michaels,1
Padmakumar Narasimhamurthy,1
Greg Kohs,1
Saara Cantell,1
Johnny Martin,1
Christel Gibson,1
Paul Katis,1
Pulkit,1
William Monahan,1
Chris Burkard,1
Cédric Jimenez,1
Matt Ogens,1
"Sidharta Tata, Aco Tenriyagelli, Dian Sastrowardoyo, Ifa Isfansyah, Jason Iskandar",1
Yen Cheng-kuo,1
Beyoncé Knowles-Carter,1
Gastón Duprat,1
Kader Aoun,1
Yesim Ustaoglu,1
"Felix Herngren, Måns Herngren",1
David Marmor,1
Jason Winer,1
Michael Petroni,1
David Gelb,1
Sanjay Gupta,1
Tathagata Banerjee,1
Tim Maltby,1
Giulia Clark,1
Anil Sharma,1
Damien Leone,1
Brandon Dickerson,1
Valli Bindana,1
Richard Shepard,1
Thom Zimny,1
Isabelle Nanty,1
"Barbra Streisand, Jim Gable",1
Rahul Dholakia,1
Sohail Tatari,1
Indrasis Acharya,1
John Bridcut,1
Benny Fine,1
Manbhavan Singh,1
Wim Wenders,1
Storm Saulter,1
Troy Byer,1
Michael Ritchie,1
John Hughes,1
Alessandra de Rossi,1
Daniel Prochaska,1
Liao Shih-han,1
Santiago Alvarado Ilarri,1
James Tovell,1
Steven Rinella,1
Oyefunke Fayoyin,1
Steve Rash,1
Josh Aronson,1
Ram,1
"Vikas Bahl, Nitesh Tiwari",1
Prem Soni,1
"Jill Bauer, Ronna Gradus, Rashida Jones",1
Wyatt Cenac,1
Bassam Kurdali,1
Michael Whitton,1
Lee Fulkerson,1
Ananth Narayan Mahadevan,1
Amar Gupte,1
Li Pei-Chuan,1
James Foley,1
"Chris Bell, Josh Alexander, Greg Young",1
Dharmendra Suresh Desai,1
Mark Herman,1
Michael G. Kehoe,1
James Brown,1
Kinka Usher,1
Magnus Martens,1
"Don Argott, Sheena M. Joyce",1
Faris Godus,1
Rod Lurie,1
Vijay Maurya,1
Deep Joshi,1
Suman Ghosh,1
Borja Cobeaga,1
Nabil Ayouch,1
Aamir Bashir,1
Arne Birkenstock,1
Philipp Eichholtz,1
Ilya Naishuller,1
Manish Tiwary,1
Deepika Narayan Bhardwaj,1
"Ben Bowie, Geoff Luck",1
Ekachai Uekrongtham,1
John Papola,1
"William Eubank, Will Eubank",1
Marie Clements,1
Cris D'Amato,1
Mostafa Abu Seif,1
Kanika Batra,1
Laura Mañá,1
Naoto Amazutsumi,1
Danny Cannon,1
Chi Keung Fung,1
Kate Horne,1
Erik White,1
"Roger Graef, James Rogan",1
Andrew Bujalski,1
Tamer Bassiouni,1
Jay Surridge,1
David Grossman,1
Law Wing-cheong,1
"Surya S.J., Sunil Kumar Agrawal",1
Justin McConnell,1
Sarah Moshman,1
Peter Nicks,1
Buz Wallick,1
Drew Stone,1
Kongkiat Komesiri,1
Sharan Koppisetty,1
Steven Tsuchida,1
Daniel Markowicz,1
Zhang Yimou,1
André D'Elia,1
Nonzee Nimibutr,1
Vincent Kok,1
Adam Wingard,1
Pat Healy,1
Evan Katz,1
"Don Bluth, Gary Goldman, Dan Kuenster",1
Mike Nicoll,1
Brendan Byrne,1
John Scheinfeld,1
Caradog W. James,1
Joe Boyd,1
Noah Moskin,1
Michael Pressman,1
